P11250 QuickStatements for sona.pona.la wiki links
================================================================================

Total items: 323

QID             Word                           sonapona:pagename                       
Q137374460      pata                           sonapona:pata                                    
Q137763842      pe                             sonapona:pe                                      
Q137763843      penpo                          sonapona:penpo                                   
Q137763844      pensa                          sonapona:pensa                                   
Q137374461      peta                           sonapona:peta                                    
Q137763845      peto                           sonapona:peto                                    
Q137763846      pika                           sonapona:pika                                    
Q137763847      pingo                          sonapona:pingo                                   
Q137763848      pipo                           sonapona:pipo                                    
Q137763849      pipolo                         sonapona:pipolo                                  
Q137374462      po                             sonapona:po                                      
Q137763850      polinpin                       sonapona:polinpin                                
Q137763852      pomotolo                       sonapona:pomotolo                                
Q137763853      poni                           sonapona:poni                                    
Q137722416      powe                           sonapona:powe                                    
Q137763855      pulaso                         sonapona:pulaso                                  
Q137763856      puwa                           sonapona:puwa                                    
Q137763861      samu                           sonapona:samu                                    
Q137374463      san                            sonapona:san                                     
Q137763862      santa                          sonapona:santa                                   
Q137763863      sapelipope                     sonapona:sapelipope                              
Q137763872      sikako                         sonapona:sikako                                  
Q137763873      sikomo                         sonapona:sikomo                                  
Q137763875      silapa                         sonapona:silapa                                  
Q137763877      sipi                           sonapona:sipi                                    
Q137763880      sisi                           sonapona:sisi                                    
Q137763882      siwala                         sonapona:siwala                                  
Q137763885      slape                          sonapona:slape                                   
Q137763886      snoweli                        sonapona:snoweli                                 
Q137763887      sokeli                         sonapona:sokeli                                  
Q137763889      sowoli                         sonapona:sowoli                                  
Q137374531      su                             sonapona:su                                      
Q137763891      suke                           sonapona:suke                                    
Q137763892      sulaso                         sonapona:sulaso                                  
Q137763893      sunta                          sonapona:sunta                                   
Q137763894      ta                             sonapona:ta                                      
Q137763896      taki                           sonapona:taki                                    
Q137763897      tasun                          sonapona:tasun                                   
Q137763899      te                             sonapona:te                                      
Q137763900      teken                          sonapona:teken                                   
Q137763902      ten                            sonapona:ten                                     
Q137763905      to                             sonapona:to                                      
Q137763906      tokana                         sonapona:tokana                                  
Q137763909      toma                           sonapona:toma                                    
Q137763910      tona                           sonapona:tona                                    
Q137763912      tonyu                          sonapona:tonyu                                   
Q137763917      uka                            sonapona:uka                                     
Q137763918      umesu                          sonapona:umesu                                   
Q137763921      unu                            sonapona:unu                                     
Q137763923      usawi                          sonapona:usawi                                   
Q137763928      wa                             sonapona:wa                                      
Q137763930      wakalito                       sonapona:wakalito                                
Q137763931      waken                          sonapona:waken                                   
Q137763932      waleja                         sonapona:waleja                                  
Q137763933      wasoweli                       sonapona:wasoweli                                
Q137763934      wawajete                       sonapona:wawajete                                
Q137763936      we                             sonapona:we                                      
Q137763938      wekama                         sonapona:wekama                                  
Q137763941      wi                             sonapona:wi                                      
Q137763943      wiki                           sonapona:wiki                                    
Q137763945      wiwi                           sonapona:wiwi                                    
Q137763946      wowujiti                       sonapona:wowujiti                                
Q137763947      wuwojiti                       sonapona:wuwojiti                                
Q137763948      yupekosi                       sonapona:yupekosi                                
Q137763949      yutu                           sonapona:yutu                                    
